"""Site name""","URL","Teams","Channel sites","Storage used (GB)","Primary admin","Hub","Template","Last activity (UTC)","Date created","Created by","Storage limit (GB)","Storage used (%)","Microsoft 365 group","Files viewed or edited","Page views","Page visits","Files","Sensitivity","External sharing","Segments","CorrectedUrl"
"Custom Courses","https://orielstat.sharepoint.com/sites/CustomCourses","FALSE","","0","","","Team site","","1/7/2022 13:42","Custom Courses Owners","25600","0","TRUE","0","0","0","0","","On","","https://validanto365.sharepoint.com/sites/OSAM-CustomCourses"
"DEandI","https://orielstat.sharepoint.com/sites/deandi","FALSE","","0.19","","","Team site","2/6/2022 16:00","6/29/2021 13:46","DEandI Owners","25600","0","TRUE","10","1","1","38","","On","",
"DEEP-0965-BASELINE-13485","https://orielstat.sharepoint.com/sites/deep-0965-baseline-13485","FALSE","","0.26","","","Team site","1/25/2022 16:00","8/26/2020 5:40","Deborah Hatcher","25600","0","TRUE","1","1","1","65","","On","",
"DEnI","https://orielstat.sharepoint.com/sites/DEnI","TRUE","","0","","","Team site","11/14/2021 16:00","7/1/2021 11:50","DEnI Owners","25600","0","TRUE","0","0","0","4","","On","",
"Draeger Medical -MOCK-MDSAP-APR2018-0108","https://orielstat.sharepoint.com/sites/draegermedical-mock-mdsap-apr2018-0108","FALSE","","0","","","Team site","6/23/2021 17:00","3/14/2018 13:05","Wendy Kinal","25600","0","TRUE","0","0","0","9","","On","","https://validanto365.sharepoint.com/sites/OSAM-draegermedical-mock-mdsap-apr2018-0108"
"DUKA-1505-EU-MDR-TRANSITION","https://orielstat.sharepoint.com/sites/duka-1505-eu-mdr-transition","FALSE","","0.02","","","Team site","12/21/2021 16:00","10/29/2021 6:01","DUKA-1505-EU-MDR-TRANSITION Owners","25600","0","TRUE","0","0","0","56","","On","",
"ECLI-0950-STAFFAUG-RA-QA","https://orielstat.sharepoint.com/sites/ecli-0950-staffaug-ra-qa","FALSE","","0.26","","","Team site","2/6/2022 16:00","9/10/2020 6:15","Deborah Hatcher","25600","0","TRUE","10","22","2","327","","On","",
"eCW pre-engagement info","https://orielstat.sharepoint.com/sites/eCWpre-engagementinfo","FALSE","","0.07","Kate Leith","","Communication site","6/13/2021 17:00","8/14/2020 7:46","Kate Leith","25600","0","FALSE","0","0","0","13","","Off","","https://validanto365.sharepoint.com/sites/OSAM-eCWpre-engagementinfo"
"EITA-1276-AXSESS-MDR","https://orielstat.sharepoint.com/sites/eita-1276-axsess-mdr","FALSE","","0.05","","","Team site","1/25/2022 16:00","6/2/2021 7:08","EITA-1276-AXSESS-MDR Owners","25600","0","TRUE","1","1","1","103","","On","",
"eLearning Team","https://orielstat.sharepoint.com/sites/eLearningTeam","TRUE","","0.12","","","Team site","2/6/2022 16:00","7/23/2020 8:55","eLearning Team Owners","25600","0","TRUE","1","0","0","22","","On","","https://validanto365.sharepoint.com/sites/OSAM-eLearningTeam"
"ELEV-0777-BASELINE-13485","https://orielstat.sharepoint.com/sites/elev-0777-baseline-13485","FALSE","","0","","","Team site","","4/9/2020 8:23","Deborah Hatcher","25600","0","TRUE","0","0","0","0","","On","",
"ELEV-0777-BASELINE-13485-NEW","https://orielstat.sharepoint.com/sites/elev-0777-baseline-13485-new","FALSE","","0.01","","","Team site","1/26/2022 16:00","4/9/2020 8:43","Deborah Hatcher","25600","0","TRUE","1","1","1","48","","On","",
"EMF update","https://orielstat.sharepoint.com/sites/EMFupdate","FALSE","","0","","","Team site","10/18/2020 17:00","5/24/2019 12:16","Amy Pflug","25600","0","TRUE","0","0","0","4","","On","","https://validanto365.sharepoint.com/sites/OSAM-EMFupdate"
"EMF-VILT EU MDR Implementation Training","https://orielstat.sharepoint.com/sites/EMF-VILTEUMDRImplementationTraining","TRUE","","0","","","Team site","8/23/2021 17:00","3/4/2021 10:48","EMF-VILT EU MDR Implementation Training Owners","25600","0","TRUE","0","0","0","3","","On","","https://validanto365.sharepoint.com/sites/OSAM-EMF-VILTEUMDRImplementationTraining"
"ERCH-0493-AXSESS-MDR","https://orielstat.sharepoint.com/sites/erch-0493-axsess-mdr","FALSE","","0.14","","","Team site","1/26/2022 16:00","10/25/2019 10:31","Deborah Hatcher","25600","0","TRUE","1","1","1","85","","On","",
"ERCH-0578-BASE-MDR","https://orielstat.sharepoint.com/sites/erch-0578-base-mdr","FALSE","","0.02","","","Team site","5/20/2020 17:00","8/22/2019 6:35","Deborah Hatcher","25600","0","TRUE","0","0","0","37","","On","",
"ETHI-0681-AXSESS-MDR","https://orielstat.sharepoint.com/sites/ethi-0681-axsess-mdr","FALSE","","0","","","Team site","12/13/2020 16:00","2/6/2020 8:47","Deborah Hatcher","25600","0","TRUE","0","0","0","8","","On","",
"ETHI-1393-INTERNAL-MDR","https://orielstat.sharepoint.com/sites/ethi-1393-internal-mdr","FALSE","","0.09","","","Team site","1/25/2022 16:00","7/15/2021 9:03","ETHI-1393-INTERNAL-MDR Owners","25600","0","TRUE","1","2","1","123","","On","",
"EU MDR Auditor Qualification","https://orielstat.sharepoint.com/sites/eumdrauditorqualification","FALSE","","0.1","","","Team site","10/18/2020 17:00","2/12/2019 13:06","Pavan Sundrani","25600","0","TRUE","0","0","0","17","","On","","https://validanto365.sharepoint.com/sites/OSAM-eumdrauditorqualification"
"EU MDR Modules","https://orielstat.sharepoint.com/sites/EUMDRModules","FALSE","","0","","","Team site","6/23/2019 17:00","5/24/2019 13:19","Amy Pflug","25600","0","TRUE","0","0","0","0","","On","","https://validanto365.sharepoint.com/sites/OSAM-EUMDRModules"
"EYEQ-1381-QMS-13485-QSR","https://orielstat.sharepoint.com/sites/eyeq-1381-qms-13485-qsr","FALSE","","0.05","","","Team site","1/25/2022 16:00","10/5/2021 12:09","EYEQ-1381-QMS-13485-QSR Owners","25600","0","TRUE","1","1","1","24","","On","",
"FACI-0817-EUA","https://orielstat.sharepoint.com/sites/faci-0817-eua","FALSE","","0.02","","","Team site","6/9/2021 17:00","5/6/2020 5:17","Deborah Hatcher","25600","0","TRUE","0","0","0","50","","On","",
"Feedback","https://orielstat.sharepoint.com/sites/Feedback","FALSE","","0","","","Team site","1/24/2022 16:00","11/4/2021 13:39","Feedback Owners","25600","0","TRUE","1","0","0","2","","On","",
"Flowmet-AUDIT-13485-9001-APR2018-0193","https://orielstat.sharepoint.com/sites/flowmet-audit-13485-9001-apr2018-0193","FALSE","","0","","","Team site","10/19/2020 17:00","4/12/2018 9:11","Wendy Kinal","25600","0","TRUE","0","0","0","6","","On","",
"FUJIREBIO-MOCK-MDSAP-JAN2018-0119","https://orielstat.sharepoint.com/sites/fuji-mock-mdsap-jan2018-0119","FALSE","","0.01","","","Team site","6/16/2020 17:00","1/16/2018 17:45","Cisco Medina","25600","0","TRUE","0","0","0","14","","On","","https://validanto365.sharepoint.com/sites/OSAM-fuji-mock-mdsap-jan2018-0119"
"Gasco Team","https://orielstat.sharepoint.com/sites/gascoteam","FALSE","","1.19","","","Team site","10/15/2021 17:00","10/24/2016 12:17","Jim Christensen","25600","0","TRUE","0","0","0","1244","","On","","https://validanto365.sharepoint.com/sites/OSAM-gascoteam"
"GB Minitab Update","https://orielstat.sharepoint.com/sites/GBMinitabUpdate","FALSE","","0.07","Kate Leith","","Communication site","8/23/2021 17:00","5/6/2021 10:22","Kate Leith","25600","0","FALSE","0","0","0","54","","Off","","https://validanto365.sharepoint.com/sites/OSAM-GBMinitabUpdate"
"GENE-0466-510(K)","https://orielstat.sharepoint.com/sites/gene-0466-510k","FALSE","","0.33","","","Team site","9/16/2020 17:00","6/7/2019 6:36","Pavan Sundrani","25600","0","TRUE","0","0","0","45","","On","","https://validanto365.sharepoint.com/sites/OSAM-gene-0466-510k"
"GENE-1340-MOCK-MDSAP","https://orielstat.sharepoint.com/sites/gene-1340-mock-mdsap","FALSE","","0.06","","","Team site","1/27/2022 16:00","6/14/2021 13:23","GENE-1340-MOCK-MDSAP Owners","25600","0","TRUE","2","2","1","28","","On","",
"Genomic Health","https://orielstat.sharepoint.com/sites/genomichealth","FALSE","","0.01","","","Team site","5/13/2020 17:00","5/17/2019 10:25","Pavan Sundrani","25600","0","TRUE","0","0","0","10","","On","","https://validanto365.sharepoint.com/sites/OSAM-genomichealth"
"Getinge-PMA-VILT-Session","https://orielstat.sharepoint.com/sites/getinge-pma-vilt-session","FALSE","","0.6","","","Team site","8/18/2020 17:00","4/27/2020 6:08","Deborah Hatcher","25600","0","TRUE","0","0","0","327","","On","",
"GLOB-0935-US REG STRAT","https://orielstat.sharepoint.com/sites/glob-0935-usregstrat","FALSE","","0.07","","","Team site","11/16/2020 16:00","8/24/2020 9:59","Deborah Hatcher","25600","0","TRUE","0","0","0","55","","On","","https://validanto365.sharepoint.com/sites/OSAM-glob-0935-usregstrat"
"GLWM-1298-FDAMOCKAUDIT","https://orielstat.sharepoint.com/sites/glwm-1298-fdamockaudit","FALSE","","0.03","","","Team site","1/25/2022 16:00","6/7/2021 7:50","GLWM-1298-FDAMOCKAUDIT Owners","25600","0","TRUE","1","1","1","56","","On","",
"GRAI-1555-PREASS-IVDR","https://orielstat.sharepoint.com/sites/grai-1555-preass-ivdr","FALSE","","0.01","","","Team site","","2/4/2022 11:10","GRAI-1555-PREASS-IVDR Owners","25600","0","TRUE","0","0","0","12","","On","",
"Green Belt Files for Newell Brands License 2021","https://orielstat.sharepoint.com/sites/NewellBrandsGBLicense2021","FALSE","","0.12","","","Team site","","6/4/2021 5:42","Green Belt Files for Newell Brands License 2021 Owners","25600","0","TRUE","0","0","0","97","","On","","https://validanto365.sharepoint.com/sites/OSAM-NewellBrandsGBLicense2021"
"GSKC-0686-BASELINE-MDSAP","https://orielstat.sharepoint.com/sites/gskc-0686-baseline-mdsap","FALSE","","0.04","","","Team site","11/2/2020 16:00","2/27/2020 11:59","Deborah Hatcher","25600","0","TRUE","0","0","0","51","","On","",
"HENG-1542-REGSTRAT-EU+US","https://orielstat.sharepoint.com/sites/heng-1542-regstrat-euus","FALSE","","0","","","Team site","11/18/2021 16:00","11/5/2021 12:04","HENG-1542-REGSTRAT-EU+US Owners","25600","0","TRUE","0","0","0","6","","On","","https://validanto365.sharepoint.com/sites/OSAM-heng-1542-regstrat-euus"
"HRT-CON-REG-STRAT-Aug 2018-0259 & QSR-Oct-0281","https://orielstat.sharepoint.com/sites/hrt-con-reg-strat-global-aug2018-0259","FALSE","","0.03","","","Team site","8/13/2020 17:00","7/31/2018 10:38","Nicole Hedlund","25600","0","TRUE","0","0","0","179","","On","","https://validanto365.sharepoint.com/sites/OSAM-hrt-con-reg-strat-global-aug2018-0259"
"IDET-1392-US REG STRAT","https://orielstat.sharepoint.com/sites/idet-1392-usregstrat","FALSE","","0.01","","","Team site","10/3/2021 17:00","8/17/2021 11:22","IDET-1392-US REG STRAT Owners","25600","0","TRUE","0","0","0","17","","On","","https://validanto365.sharepoint.com/sites/OSAM-idet-1392-usregstrat"
"IMAG-0964-FDAMOCKAUDIT","https://orielstat.sharepoint.com/sites/imag-0964-fdamockaudit","FALSE","","0.11","","","Team site","1/25/2022 16:00","9/14/2020 11:42","Deborah Hatcher","25600","0","TRUE","1","1","1","223","","On","",
"INFL-1056-QMS-QSR","https://orielstat.sharepoint.com/sites/infl-1056-qms-qsr","FALSE","","0.01","","","Team site","1/25/2021 16:00","12/4/2020 5:53","Deborah Hatcher","25600","0","TRUE","0","0","0","21","","On","",
"INFU-0738-BASE-MDR","https://orielstat.sharepoint.com/sites/infu-0738-base-mdr","FALSE","","0.16","","","Team site","10/7/2021 17:00","2/21/2020 6:14","Deborah Hatcher","25600","0","TRUE","0","0","0","167","","On","",
"INNA-1307-US REG STRAT","https://orielstat.sharepoint.com/sites/inna-1307-usregstrat","FALSE","","0.14","","","Team site","12/27/2021 16:00","7/13/2021 10:55","INNA-1307-US REG STRAT Owners","25600","0","TRUE","0","0","0","157","","On","","https://validanto365.sharepoint.com/sites/OSAM-inna-1307-usregstrat"
"Inputs","https://orielstat.sharepoint.com/sites/Inputs","FALSE","","0.03","","","Team site","2/6/2022 16:00","1/15/2018 13:16","Amy Pflug","25600","0","TRUE","33","110","11","27","","On","",
"Inputs to Training Materials","https://orielstat.sharepoint.com/sites/InputstoTrainingMaterials","FALSE","","0","","","Team site","","1/7/2022 11:38","Inputs to Training Materials Owners","25600","0","TRUE","0","0","0","2","","On","","https://validanto365.sharepoint.com/sites/OSAM-InputstoTrainingMaterials"
"INST-1150-REGSTRAT-EU+US","https://orielstat.sharepoint.com/sites/inst-1150-regstrat-euus","FALSE","","0.06","","","Team site","5/31/2021 17:00","2/12/2021 12:08","INST-1150-REGSTRAT-EU+US Owners","25600","0","TRUE","0","0","0","18","","On","","https://validanto365.sharepoint.com/sites/OSAM-inst-1150-regstrat-euus"
"INST-1292-US REG STRAT","https://orielstat.sharepoint.com/sites/inst-1292-usregstrat","FALSE","","0.05","","","Team site","6/27/2021 17:00","5/21/2021 10:11","INST-1292-US REG STRAT Owners","25600","0","TRUE","0","0","0","49","","On","","https://validanto365.sharepoint.com/sites/OSAM-inst-1292-usregstrat"
"Instructor Training Materials","https://orielstat.sharepoint.com/sites/Instructor_Files","FALSE","","0.13","Cisco Medina","","Project Web App Site","","3/19/2019 8:30","System Account","25600","0","FALSE","0","0","0","553","","Off","","https://validanto365.sharepoint.com/sites/OSAM-Instructor_Files"
"INTE-0728-INT- HYB","https://orielstat.sharepoint.com/sites/inte-0728-int-hyb","FALSE","","0.53","","","Team site","10/13/2020 17:00","2/11/2020 11:41","Deborah Hatcher","25600","0","TRUE","0","0","0","123","","On","","https://validanto365.sharepoint.com/sites/OSAM-inte-0728-int-hyb"
"Internal Audit","https://orielstat.sharepoint.com/sites/InternalAudit","TRUE","","0","","","Team site","4/28/2021 17:00","4/14/2021 13:23","Internal Audit Owners","25600","0","TRUE","0","0","0","12","","On","","https://validanto365.sharepoint.com/sites/OSAM-InternalAudit"
"INTERNAL TRAINING","https://orielstat.sharepoint.com/sites/internaltraining","FALSE","","0.07","","","Team site","2/20/2020 16:00","9/6/2018 5:42","Nicole Hedlund","25600","0","TRUE","0","0","0","12","","On","","https://validanto365.sharepoint.com/sites/OSAM-internaltraining"
"INTU-1203-AUDIT-14000","https://orielstat.sharepoint.com/sites/intu-1203-audit-14000","FALSE","","3.71","","","Team site","1/26/2022 16:00","3/19/2021 13:38","INTU-1203-AUDIT-14000 Owners","25600","0","TRUE","54","6","2","313","","On","",
"INVI-1268-IVDR-CON","https://orielstat.sharepoint.com/sites/invi-1268-ivdr-con","FALSE","","0.06","","","Team site","2/6/2022 16:00","5/19/2021 9:30","INVI-1268-IVDR-CON Owners","25600","0","TRUE","29","23","4","36","","On","",
"IOPI-0987-AUDIT-13485/QSR","https://orielstat.sharepoint.com/sites/iopi-0987-audit-13485qsr","FALSE","","0.02","","","Team site","1/25/2022 16:00","9/18/2020 13:12","Deborah Hatcher","25600","0","TRUE","1","1","1","31","","On","","https://validanto365.sharepoint.com/sites/OSAM-iopi-0987-audit-13485qsr"
"IOPI-1464-AUDIT-13485/QSR","https://orielstat.sharepoint.com/sites/iopi-1464-audit-13485qsr","FALSE","","0.68","","","Team site","2/2/2022 16:00","9/20/2021 11:27","IOPI-1464-AUDIT-13485/QSR Owners","25600","0","TRUE","2","1","1","244","","On","","https://validanto365.sharepoint.com/sites/OSAM-iopi-1464-audit-13485qsr"
"IOQ Crew","https://orielstat.sharepoint.com/sites/IOQCrew","TRUE","","0","","","Team site","11/8/2021 16:00","9/21/2021 8:54","IOQ Crew Owners","25600","0","TRUE","0","0","0","0","","On","","https://validanto365.sharepoint.com/sites/OSAM-IOQCrew"
"IRHY-1061-MOCK-MDSAP","https://orielstat.sharepoint.com/sites/irhy-1061-mock-mdsap","FALSE","","0.66","","","Team site","1/25/2022 16:00","11/19/2020 15:59","Deborah Hatcher","25600","0","TRUE","1","1","1","223","","On","",
"IRHY-1476-INT- HYB","https://orielstat.sharepoint.com/sites/irhy-1476-int-hyb","FALSE","","0.03","","","Team site","1/25/2022 16:00","9/29/2021 5:42","IRHY-1476-INT- HYB Owners","25600","0","TRUE","2","1","1","41","","On","","https://validanto365.sharepoint.com/sites/OSAM-irhy-1476-int-hyb"
"IT Admin","https://orielstat.sharepoint.com/sites/ITAdmin","FALSE","","0.05","","","Team site","3/24/2021 17:00","12/28/2019 6:57","Ken Melanson","25600","0","TRUE","0","0","0","48","","On","","https://validanto365.sharepoint.com/sites/OSAM-ITAdmin"
"ITWM-1284-CEMARK","https://orielstat.sharepoint.com/sites/itwm-1284-cemark","FALSE","","0.01","","","Team site","11/14/2021 16:00","5/28/2021 10:05","ITWM-1284-CEMARK Owners","25600","0","TRUE","0","0","0","8","","On","",
"IVOC-1211-INT- HYB","https://orielstat.sharepoint.com/sites/ivoc-1211-int-hyb","FALSE","","0.04","","","Team site","1/25/2022 16:00","4/1/2021 10:34","IVOC-1211-INT- HYB Owners","25600","0","TRUE","1","1","1","66","","On","","https://validanto365.sharepoint.com/sites/OSAM-ivoc-1211-int-hyb"
"JAME-0942-US REG STRAT","https://orielstat.sharepoint.com/sites/jame-0942-usregstrat","FALSE","","0.04","","","Team site","8/19/2021 17:00","8/28/2020 13:27","Deborah Hatcher","25600","0","TRUE","0","0","0","47","","On","","https://validanto365.sharepoint.com/sites/OSAM-jame-0942-usregstrat"
"JOER-0455-BASE-MDR","https://orielstat.sharepoint.com/sites/joer-0455-base-mdr","FALSE","","0.14","","","Team site","5/11/2021 17:00","6/19/2019 6:39","Pavan Sundrani","25600","0","TRUE","0","0","0","154","","On","",
"JOHN-0625-EU-MDR-TRANSITION","https://orielstat.sharepoint.com/sites/john-0625-eu-mdr-transition","FALSE","","0","","","Team site","4/1/2020 17:00","10/16/2019 5:27","Deborah Hatcher","25600","0","TRUE","0","0","0","4","","On","",
"JOHN-0899-QMS-QSR","https://orielstat.sharepoint.com/sites/john-0899-qms-qsr","FALSE","","0.35","","","Team site","10/17/2020 17:00","7/10/2020 5:42","Deborah Hatcher","25600","0","TRUE","0","0","0","57","","On","",
"Johnson and Johnson","https://orielstat.sharepoint.com/sites/johnsonandjohnson","FALSE","","2.61","","","Team site","4/4/2021 17:00","4/5/2019 11:03","Pavan Sundrani","25600","0","TRUE","0","0","0","1473","","On","","https://validanto365.sharepoint.com/sites/OSAM-johnsonandjohnson"
"JUBI-0740-BASE-MDR","https://orielstat.sharepoint.com/sites/jubi-0740-base-mdr","FALSE","","3.4","","","Team site","2/6/2022 16:00","4/6/2020 9:08","Deborah Hatcher","25600","0","TRUE","129","40","7","1188","","On","",
"Jubilant EU MDR Transition Project OSAM Peeps","https://orielstat.sharepoint.com/sites/JubilantEUMDRTransitionProjectOSAMPeeps","TRUE","","0","","","Team site","2/6/2022 16:00","1/22/2021 9:38","Jubilant EU MDR Transition Project OSAM Peeps Owners","25600","0","TRUE","3","0","0","4","","On","","https://validanto365.sharepoint.com/sites/OSAM-JubilantEUMDRTransitionProjectOSAMPeeps"
"Just me","https://orielstat.sharepoint.com/sites/Justme","FALSE","","0","","","Team site","","1/10/2022 15:18","Just me Owners","25600","0","TRUE","0","0","0","0","","On","","https://validanto365.sharepoint.com/sites/OSAM-Justme"
"KB Project Planner","https://orielstat.sharepoint.com/sites/KBProjectPlanner","FALSE","","0","","","Team site","","2/1/2022 6:30","KB Project Planner Owners","25600","0","TRUE","0","0","0","0","","On","","https://validanto365.sharepoint.com/sites/OSAM-KBProjectPlanner"
"KING-1517-US REG STRAT","https://orielstat.sharepoint.com/sites/king-1517-usregstrat","FALSE","","0","","","Team site","12/2/2021 16:00","12/2/2021 12:49","KING-1517-US REG STRAT Owners","25600","0","TRUE","0","0","0","7","","On","","https://validanto365.sharepoint.com/sites/OSAM-king-1517-usregstrat"
"KLS-MOCK-MDSAP-DEC2017-0079","https://orielstat.sharepoint.com/sites/kls-mock-mdsap-dec2017-0079","FALSE","","0.02","","","Team site","6/16/2020 17:00","11/7/2017 11:39","KLS-MOCK-MDSAP-DEC2017-0079","25600","0","TRUE","0","0","0","78","","On","",
"KORU Medical Systems Internal Audit - Nov 2021","https://orielstat.sharepoint.com/sites/KORUMedicalSystemsInternalAudit-Nov2021","TRUE","","0","","","Team site","1/25/2022 16:00","11/5/2021 9:23","KORU Medical Systems Internal Audit - Nov 2021 Owners","25600","0","TRUE","1","0","0","2","","On","","https://validanto365.sharepoint.com/sites/OSAM-KORUMedicalSystemsInternalAudit-Nov2021"
"KORU-0711-AUDIT-MDSAP","https://orielstat.sharepoint.com/sites/koru-0711-audit-mdsap","FALSE","","0.01","","","Team site","11/14/2021 16:00","1/23/2020 10:54","Deborah Hatcher","25600","0","TRUE","0","0","0","17","","On","",
"KORU-1399-BASE-MDR","https://orielstat.sharepoint.com/sites/koru-1399-base-mdr","FALSE","","1.06","","","Team site","1/25/2022 16:00","8/9/2021 11:24","KORU-1399-BASE-MDR Owners","25600","0","TRUE","1","9","3","182","","On","",
"KORU-1511-INT- HYB","https://orielstat.sharepoint.com/sites/koru-1511-int-hyb","FALSE","","0.63","","","Team site","1/25/2022 16:00","10/18/2021 9:38","KORU-1511-INT- HYB Owners","25600","0","TRUE","3","4","2","299","","On","","https://validanto365.sharepoint.com/sites/OSAM-koru-1511-int-hyb"
"KORU-1556-DOC-REM","https://orielstat.sharepoint.com/sites/koru-1556-doc-rem","FALSE","","0.13","","","Team site","2/6/2022 16:00","11/22/2021 6:08","KORU-1556-DOC-REM Owners","25600","0","TRUE","48","61","3","91","","On","",
"KOVEN-ASSESS-QSR-13485-NOV2017-0100","https://orielstat.sharepoint.com/sites/koven-assess-qsr-13485-nov2017-0100","FALSE","","0","","","Team site","6/27/2018 17:00","11/20/2017 13:03","KOVEN-ASSESS-QSR-13485-NOV2017-0100","25600","0","TRUE","0","0","0","3","","On","",
"KTHE-0663-QMS-13485-QSR","https://orielstat.sharepoint.com/sites/kthe-0663-qms-13485-qsr","FALSE","","0.03","","","Team site","1/6/2021 16:00","1/24/2020 13:06","Deborah Hatcher","25600","0","TRUE","0","0","0","48","","On","",
"LACR-0785-AUDIT-13485/QSR","https://orielstat.sharepoint.com/sites/lacr-0785-audit-13485qsr","FALSE","","0.14","","","Team site","6/30/2021 17:00","3/20/2020 12:05","Deborah Hatcher","25600","0","TRUE","0","0","0","122","","On","","https://validanto365.sharepoint.com/sites/OSAM-lacr-0785-audit-13485qsr"
"LACR-1042-BASE-MDR","https://orielstat.sharepoint.com/sites/lacr-1042-base-mdr","FALSE","","0.06","","","Team site","1/25/2022 16:00","12/18/2020 10:44","LACR-1042-BASE-MDR Owners","25600","0","TRUE","1","1","1","103","","On","",
"LACR-1288-AUDIT-13485/QSR","https://orielstat.sharepoint.com/sites/lacr-1288-audit-13485qsr","FALSE","","0.55","","","Team site","1/25/2022 16:00","6/2/2021 11:53","LACR-1288-AUDIT-13485/QSR Owners","25600","0","TRUE","1","1","1","349","","On","","https://validanto365.sharepoint.com/sites/OSAM-lacr-1288-audit-13485qsr"
"LeadershipTeam","https://orielstat.sharepoint.com/sites/LeadershipTeam","FALSE","","0","","","Team site","2/6/2022 16:00","1/5/2022 14:34","LeadershipTeam Owners","25600","0","TRUE","15","137","19","12","","On","",
"Libby Farrelly PM","https://orielstat.sharepoint.com/sites/LibbyFarrellyPM","FALSE","","0","","","Team site","1/30/2022 16:00","11/15/2021 11:22","Libby Farrelly PM Owners","25600","0","TRUE","2","3","2","3","","On","","https://validanto365.sharepoint.com/sites/OSAM-LibbyFarrellyPM"
"Lo que sea","https://orielstat.sharepoint.com/sites/Loquesea","TRUE","","0","","","Team site","7/13/2021 17:00","4/4/2021 15:08","Lo que sea Owners","25600","0","TRUE","0","0","0","1","","On","","https://validanto365.sharepoint.com/sites/OSAM-Loquesea"
"LUME-0514-BASE-MDR","https://orielstat.sharepoint.com/sites/lume-eu-mdr-transition-jan2019-0315","FALSE","","29.36","","","Team site","2/6/2022 16:00","1/29/2019 14:01","Pavan Sundrani","25600","0","TRUE","1235","263","15","19904","","On","","https://validanto365.sharepoint.com/sites/OSAM-lume-eu-mdr-transition-jan2019-0315"
"LUME-0725-FDA-INSPECTION READINESS","https://orielstat.sharepoint.com/sites/lume-0725-fda-inspectionreadiness","FALSE","","0.2","","","Team site","1/25/2022 16:00","1/31/2020 6:47","Deborah Hatcher","25600","0","TRUE","1","1","1","172","","On","","https://validanto365.sharepoint.com/sites/OSAM-lume-0725-fda-inspectionreadiness"
"LUME-1041-DOC-REM","https://orielstat.sharepoint.com/sites/lume-1041-doc-rem","FALSE","","0.01","","","Team site","1/25/2022 16:00","11/4/2020 9:53","Deborah Hatcher","25600","0","TRUE","1","2","1","40","","On","",
"LUME-1481-SUPPLIER-AUDIT-13485","https://orielstat.sharepoint.com/sites/lume-1481-supplier-audit-13485","FALSE","","0.05","","","Team site","1/25/2022 16:00","10/28/2021 7:49","LUME-1481-SUPPLIER-AUDIT-13485 Owners","25600","0","TRUE","1","1","1","30","","On","",
"LUME-1596-SUPPLIER-AUDIT-QSR-13485","https://orielstat.sharepoint.com/sites/lume-1596-supplier-audit-qsr-13485","FALSE","","0.02","","","Team site","2/6/2022 16:00","1/20/2022 6:03","LUME-1596-SUPPLIER-AUDIT-QSR-13485 Owners","25600","0","TRUE","74","7","2","108","","On","",
"LUPI-1415-CEMARK","https://orielstat.sharepoint.com/sites/lupi-1415-cemark","FALSE","","0.08","","","Team site","2/2/2022 16:00","8/6/2021 9:03","LUPI-1415-CEMARK Owners","25600","0","TRUE","1","3","2","83","","On","",
"LUTO-CON-QMS-13485-QSR-Aug 2018-0271","https://orielstat.sharepoint.com/sites/luto-con-qms-13485-qsr-aug2018-0271","FALSE","","0.05","","","Team site","6/27/2019 17:00","8/6/2018 8:08","Nicole Hedlund","25600","0","TRUE","0","0","0","71","","On","","https://validanto365.sharepoint.com/sites/OSAM-luto-con-qms-13485-qsr-aug2018-0271"
"Lynch","https://orielstat.sharepoint.com/sites/Lynch","TRUE","","0","","","Team site","5/28/2021 17:00","5/13/2021 15:41","Lynch Owners","25600","0","TRUE","0","0","0","1","","On","",
"MALL-0977-AXSESS-MDR","https://orielstat.sharepoint.com/sites/mall-0977-axsess-mdr","FALSE","","1.45","","","Team site","1/25/2022 16:00","12/14/2020 6:59","MALL-0977-AXSESS-MDR Owners","25600","0","TRUE","2","1","1","417","","On","",
"Marash Family Docs","https://orielstat.sharepoint.com/sites/MarashFamilyDocs","FALSE","","0","","","Team site","","12/8/2019 11:54","Alan Marash","25600","0","TRUE","0","0","0","2","","On","","https://validanto365.sharepoint.com/sites/OSAM-MarashFamilyDocs"
"MART-0876-510(K)","https://orielstat.sharepoint.com/sites/mart-0876-510k","FALSE","","0.07","","","Team site","7/1/2021 17:00","6/29/2020 12:45","Deborah Hatcher","25600","0","TRUE","0","0","0","80","","On","","https://validanto365.sharepoint.com/sites/OSAM-mart-0876-510k"
"MART-1021-QMS-QSR","https://orielstat.sharepoint.com/sites/mart-1021-qms-qsr","FALSE","","0.04","","","Team site","1/16/2022 16:00","10/30/2020 11:44","Deborah Hatcher","25600","0","TRUE","4","0","0","135","","On","",
"MART-1487-QMS-QSR","https://orielstat.sharepoint.com/sites/mart-1487-qms-qsr","FALSE","","0","","","Team site","1/25/2022 16:00","9/28/2021 12:20","MART-1487-QMS-QSR Owners","25600","0","TRUE","1","1","1","8","","On","",
"MATT-1057-FDARECALL","https://orielstat.sharepoint.com/sites/matt-1057-fdarecall","FALSE","","0.01","","","Team site","2/21/2021 16:00","11/17/2020 11:30","Deborah Hatcher","25600","0","TRUE","0","0","0","17","","On","",
